y,dat1,dat2,dat3,dat4,dat5,dat6,dat7,dat8,dat9,dat10,dat11,dat12
3.11,1.0,3.0,2.0,1.0,2.0,2.0,-0.316,4.0,2.0,1.0,1.0,1.0
2.8226,1.0,1.0,1.0,3.0,1.0,2.0,-1.3377,1.0,4.0,1.0,1.0,1.0
7.4543,1.0,3.0,1.0,3.0,1.0,3.0,-0.761,4.0,2.0,1.0,1.0,1.0
4.4313,2.0,3.0,2.0,1.0,1.0,3.0,-2.2976,4.0,2.0,1.0,1.0,1.0
6.1543,2.0,2.0,1.0,3.0,2.0,3.0,-0.4263,2.0,1.0,1.0,1.0,1.0
-0.1783,2.0,1.0,2.0,3.0,1.0,3.0,1.4067,3.0,3.0,2.0,1.0,1.0
4.6748,2.0,3.0,2.0,1.0,2.0,1.0,-1.4669,1.0,2.0,2.0,1.0,1.0
7.0667,1.0,1.0,1.0,3.0,2.0,3.0,0.4717,2.0,4.0,2.0,1.0,1.0
1.4262,1.0,3.0,2.0,3.0,2.0,1.0,0.4436,1.0,3.0,2.0,1.0,1.0
7.729,1.0,1.0,1.0,2.0,2.0,3.0,-0.595,3.0,4.0,2.0,1.0,1.0
-2.1806,1.0,3.0,1.0,3.0,1.0,1.0,-1.7981,4.0,2.0,1.0,2.0,1.0
6.8419,2.0,3.0,1.0,2.0,1.0,1.0,0.2397,1.0,4.0,1.0,2.0,1.0
1.259,1.0,2.0,2.0,1.0,2.0,3.0,0.4742,1.0,1.0,1.0,2.0,1.0
8.8405,2.0,2.0,2.0,2.0,2.0,3.0,0.6888,3.0,1.0,1.0,2.0,1.0
6.1657,2.0,1.0,2.0,3.0,1.0,3.0,-1.0616,3.0,5.0,1.0,2.0,1.0
-4.5605,1.0,2.0,2.0,2.0,2.0,1.0,-0.5356,1.0,3.0,2.0,2.0,1.0
-1.2367,1.0,3.0,2.0,2.0,1.0,1.0,-1.2963,2.0,5.0,2.0,2.0,1.0
-12.2932,1.0,2.0,2.0,1.0,2.0,2.0,-1.5389,3.0,2.0,2.0,2.0,1.0
-2.3374,2.0,3.0,1.0,1.0,2.0,2.0,-0.6408,2.0,1.0,2.0,2.0,1.0
0.0716,1.0,2.0,2.0,2.0,1.0,1.0,0.6574,1.0,1.0,2.0,2.0,1.0
0.1895,2.0,1.0,1.0,1.0,1.0,3.0,0.9259,1.0,2.0,1.0,3.0,1.0
